,primary key,before,after
0,미래사랑,신정로13길 3 (신정동),
0,미래에셋생명,마포대로 163 (공덕동),
0,미래에셋센터원빌딩,을지로5길 26(수하동),
0,미래프라자,양화로 166 (동교동),
0,미켈란 호수가 관리단대표회의,석촌호수로 230(석촌동 158-5),
0,박성용,상도로47길 4,서울 동작구 상도로47길 4
0,방배디오빌,서초대로 17(방배동 866-20),
0,방배디오빌(2개),서초대로 17(방배동 866-20),
0,방사선융합연구센터,노원로 75 원자력의학원(공릉2동 215-4),
0,방주교회,방배동 425-2,서울 서초구 방배천로24길 8
0,배성네트웍스,양천로 476,서울 강서구 양천로 476
0,배일호,의사당대로 141(여의도동 45),
0,백상빌딩,신촌로 231(북아현동221-7),
0,백석대,서울특별시 서초구 (방배동 981-17),
0,백석대학교 믿음동,남부순환로 2221(방배동 490-1),
0,백석대학교(지하수),서울특별시 서초구 (방배동 1023-1),
0,백영성수센터,성수일로 56 (성수동2가),
0,벽산 디지털밸리6,가산디지털1로 219(가산동 481-4),
0,벽산미라지타워,"목동동로 385, (목동)",
0,벽산아파트6단지,"금하로 796(시흥동 1013-4 ,벽산아파트 )",
0,별정우체국연합회,마포대로 130 (공덕동),
0,보라매나산스위트(아스타IBS),보라매로5가길 24,서울 동작구 보라매로5가길 24
0,보문제2구역 주택재개발(보문2구역),보문로1가 60-2,
0,보미건설,상계6.7동 706-2,서울 노원구 상계로 32
0,보은종합건설㈜,수유동 45-2(공사장),
0,부라다리빙텔,자동차시장1길 73(용답동),
0,부영그린타운1,목동동로 393 (목동),
0,부영그린타운3,목6동 908-34,
0,북서울시립미술관,동일로 1238(중계2.3동 508),
0,북아현1-2구역조합,북아현로1길 50(북아현동174),
0,북한산코오롱하늘채아파트,우이천로 367,서울 도봉구 우이천로 367
0,브라다리빙텔,자동차시장1길 73 (용답동),
0,브라운스톤연희,연희로 82(연희동194-30),
0,블랙야크,바우뫼로 201(양재동 5-6),
0,블루스톤타워,연무장5길 9-16 (성수동2가),
0,비와이씨 하이시티,가산디지털1로 131(가산동 371-17),
0,사가정센트럴 아이파크,동일로92길 40(면목동),
0,사단법인 금융결제원 생활관,강남대로18길 15-16(양재동 243),
0,사단법인청권사,방배동 984-3,서울 서초구 효령로34길 4
0,사랑의교회,,서울 성북구 개운사길 83-15
0,사보이시티디엠씨관리단,월드컵북로54길 17,서울 마포구 월드컵북로54길 17
0,사운즈빌딩,대사관로 35,서울 용산구 대사관로 35
0,삼부르네상스플러스,시흥대로152길 11-43(독산동 953),
0,삼부토건,성산동,경남 창원시 성산구 공단로473번길 33
0,삼부프라자,한글비석로 242,서울 노원구 한글비석로 242
0,삼성SDS,월드컵북로60길 24,서울 마포구 월드컵북로60길 24
0,삼성SRA부동산투자신탁제4호,올림픽로35가길(신천동 7-13),
0,삼성금융캠퍼스,사임당로23길 27(서초동 1641-10),
